Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion
2025-10-01,BMNR,52.36,40244639,52.17,30.22,40.46,62.29,39.70,64.25,-69.78,49,,0.00,HOLD,4.97,44.90,67.27,44.90,54.85
2025-10-01,DNA,14.67,2240795,67.96,83.77,9.06,14.08,9.87,15.60,-16.23,49,,226.00,SELL,1.03,16.21,11.58,16.21,14.16
2025-10-01,GEV,606.15,2421101,46.90,23.17,584.91,648.04,565.50,653.50,-76.83,49,,0.00,HOLD,22.75,572.03,674.39,572.03,617.52
2025-10-01,GOOGL,244.90,29649105,63.88,38.33,231.83,257.78,226.11,256.00,-61.67,49,,0.00,HOLD,5.67,236.40,261.90,236.40,247.73
2025-10-01,INTC,35.94,159293729,74.71,97.06,19.99,36.94,23.75,36.30,-2.94,49,,227.00,SELL,1.67,38.44,30.93,38.44,35.11
2025-10-01,IONQ,63.09,33706645,58.79,55.01,36.36,82.24,40.38,76.13,-44.99,49,FallingWedge,70.00,HOLD,4.42,56.46,76.35,56.46,65.30
2025-10-01,PLTR,184.95,45486213,66.11,94.68,153.13,191.25,148.04,186.28,-5.32,49,,148.00,HOLD,6.76,174.82,205.22,174.82,188.33
2025-10-01,RXRX,5.10,43446020,55.99,76.26,4.49,5.09,4.45,5.26,-23.74,49,,78.00,HOLD,0.29,4.66,5.98,4.66,5.25
2025-10-01,TSLA,459.46,97116635,73.75,96.93,327.46,483.52,331.48,462.29,-3.07,49,,227.00,SELL,16.15,483.68,411.01,483.68,451.39
2025-10-01,UPST,52.13,13362687,30.25,9.54,51.33,74.03,50.10,71.38,-90.46,49,,148.00,HOLD,3.94,46.23,63.94,46.23,54.10
2025-10-02,BMNR,56.50,52968294,57.82,54.52,41.82,62.36,39.70,64.25,-45.48,64,,50.00,HOLD,4.91,49.13,71.23,49.13,58.96
2025-10-02,DNA,15.97,2092131,72.78,93.13,8.62,14.95,9.87,16.42,-6.87,64,,355.00,SELL,1.08,17.60,12.72,17.60,15.43
2025-10-02,GEV,606.23,2041515,46.93,23.31,585.96,647.74,565.50,653.50,-76.69,64,,50.00,HOLD,22.47,572.52,673.65,572.52,617.47
2025-10-02,GOOGL,245.69,25343292,64.77,40.71,233.83,257.11,231.90,256.00,-59.29,64,,50.00,HOLD,5.58,237.31,262.44,237.31,248.48
2025-10-02,INTC,37.30,148068284,76.82,97.98,20.00,38.20,24.05,37.57,-2.02,64,,277.00,SELL,1.70,39.85,32.19,39.85,36.45
2025-10-02,IONQ,69.60,37005699,66.06,67.64,38.74,82.60,40.38,76.13,-32.36,64,,50.00,HOLD,4.57,62.74,83.31,62.74,71.89
2025-10-02,PLTR,187.05,39680296,67.83,95.73,155.12,192.35,148.04,188.20,-4.27,64,,198.00,HOLD,6.65,177.08,207.00,177.08,190.37
